#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","try { . ""c:\Users\erenz\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}","Completed","29.12.2025 17:31:30","29.12.2025 17:31:31"
"2","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:31:33","29.12.2025 17:31:37"
"3","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:33:46","29.12.2025 17:33:48"
"4","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:35:38","29.12.2025 17:35:40"
"5","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:38:04","29.12.2025 17:38:07"
"6","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:39:56","29.12.2025 17:39:58"
"7","python manage.py","Completed","29.12.2025 17:40:46","29.12.2025 17:40:50"
"8","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:44:45","29.12.2025 17:44:48"
"9","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:46:19","29.12.2025 17:46:20"
"10","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:48:59","29.12.2025 17:49:00"
"11","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:56:37","29.12.2025 17:56:41"
"12","docker compose exec backend python manage.py migrate","Completed","29.12.2025 17:58:15","29.12.2025 17:58:16"
"13","python manage.py makemigrations users","Completed","29.12.2025 18:01:13","29.12.2025 18:01:18"
"14","docker compose exec backend python manage.py migrate","Completed","29.12.2025 18:01:21","29.12.2025 18:01:24"
"15","docker compose exec db psql -U postgres -d realtimeboard","Completed","29.12.2025 18:04:24","29.12.2025 18:16:43"
"16","doskey /history","Completed","29.12.2025 18:17:20","29.12.2025 18:17:20"
"17","doskey /history > komutlarV2.txt","Completed","29.12.2025 18:18:09","29.12.2025 18:18:09"
